event_id,team,module,priority,build_time_min,deploy_time_min,commit_size_loc,num_bugs,test_coverage_pct,ticket_resolution_h,deploy_status
2504,Beta,ui,alta,4.6,2.12,281,2,82.2,4.9,success
3510,Gamma,api,alta,8.2,3.04,394,2,90.0,4.35,success
4267,Delta,payments,media,7.21,3.83,34,0,85.9,4.08,success
1610,Delta,ui,baja,7.42,4.63,55,0,84.2,7.36,success
3358,Delta,api,alta,11.32,6.6,229,2,93.3,5.63,success
3957,Gamma,api,alta,19.16,2.13,140,0,82.5,3.91,success
585,Gamma,ui,media,20.27,1.61,49,0,88.9,,success
1908,Alpha,ui,baja,4.0,1.32,250,2,74.8,12.14,success
4398,Alpha,auth,alta,21.49,4.71,177,0,85.1,3.06,success
1670,Alpha,ui,alta,9.34,4.53,418,0,84.2,4.0,success
4208,Alpha,ui,baja,6.31,2.98,123,1,90.9,9.37,success
3984,Alpha,ui,baja,8.04,1.73,175,0,88.2,11.58,success
950,Alpha,payments,baja,9.57,3.77,129,1,81.4,6.69,failed
2989,Delta,notifications,baja,7.23,4.73,59,2,83.1,20.98,success
487,Beta,notifications,media,3.99,5.26,57,1,88.2,6.04,success
1731,Gamma,api,media,11.47,5.27,136,0,87.8,7.36,success
1129,Delta,notifications,media,4.38,3.95,186,0,87.6,4.91,success
2689,Beta,ui,baja,6.3,2.88,315,0,68.0,5.86,success
3617,Alpha,api,critica,7.77,2.41,148,1,92.4,8.5,success
180,Alpha,ui,baja,6.26,1.69,206,1,81.3,8.91,success
2419,Alpha,auth,critica,4.97,3.58,244,1,78.3,2.81,success
4266,Alpha,ui,baja,8.05,3.24,57,0,95.5,17.18,success
298,Gamma,api,alta,6.0,4.66,47,1,76.6,7.82,success
1892,Alpha,ui,baja,7.27,4.83,81,0,83.5,4.76,success
4384,Gamma,api,critica,7.39,4.49,454,2,92.7,7.22,success
280,Alpha,api,alta,9.24,2.42,17,1,76.3,6.92,success
229,Alpha,search,baja,3.65,4.01,90,2,64.5,7.3,rolled_back
1502,Delta,auth,media,12.65,3.31,145,0,97.0,5.34,success
